"time","DC Current","AC Current"
1786826426776,0.4,1.2
1786826426802,0.4,2.6
1786826426828,0.3,5.2
1786826426854,1.8,12
1786826426880,11.2,65.1
1786826426906,24.6,138.6
1786826426932,21.5,131.8
1786826426959,18,107.7
1786826426985,16.3,93.7
1786826427011,17.3,104.8
1786826427037,18.3,110.7
1786826427064,19,109.2
1786826427090,21.4,122.9
1786826427116,19.7,116.4
1786826427142,16.5,96.2
1786826427169,15.2,91.4
1786826427195,15.5,89.7
1786826427222,15.7,90.6
1786826427248,15.1,88.3
1786826427274,15.2,90.8
1786826427300,15.7,91.9
1786826427326,14.6,84.6
1786826427352,14.5,79.3
1786826427378,14.4,83.5
1786826427404,14.2,79.5
1786826427430,15.5,83.5
1786826427457,14.8,83.1
1786826427483,14.9,84.2
1786826427509,14.4,82.2
1786826427535,15.6,86
1786826427561,14.6,84
1786826427588,14.7,79
1786826427614,14.6,83
1786826427640,14.7,81.2
1786826427666,15.8,85.8
1786826427692,17.7,93.6
1786826427718,17.4,94.1
1786826427744,17.3,91.8
1786826427770,17.3,92.2
1786826427797,17,90.5
1786826427823,17.6,95.8
1786826427849,16.7,94.5
1786826427875,17.1,92.8
1786826427901,18.6,99.2
1786826427927,20.1,111.7
1786826427953,20.9,114
1786826427979,21.9,114.5
1786826428005,21.9,111.5
1786826428031,21.5,109.9
1786826428057,22.5,110.7
1786826428084,20.8,108.1
1786826428110,23,112.6
1786826428136,23.2,116
1786826428162,23.6,120.2
1786826428188,23.8,118.8
1786826428214,24.6,121.6
1786826428240,23.9,116.7
1786826428266,24.4,116.6
1786826428292,24.1,123.7
1786826428318,25.2,123.7
1786826428344,26.9,134.5
1786826428371,28.6,134.5
1786826428397,27,134.6
1786826428423,26.7,128
1786826428449,25.2,127.4
1786826428475,29.4,136.3
1786826428501,29.3,139.6
1786826428527,28.1,136
