"DTI Voltage","time"
491,1786826035045
490,1786826035071
491,1786826035098
489,1786826035124
490,1786826035150
490,1786826035177
490,1786826035203
491,1786826035230
491,1786826035256
491,1786826035282
491,1786826035309
491,1786826035335
491,1786826035361
491,1786826035387
491,1786826035413
491,1786826035439
492,1786826035465
492,1786826035492
491,1786826035518
492,1786826035544
491,1786826035570
491,1786826035596
492,1786826035622
493,1786826035649
492,1786826035675
492,1786826035701
491,1786826035727
493,1786826035754
493,1786826035780
494,1786826035806
494,1786826035833
495,1786826035860
495,1786826035886
495,1786826035912
494,1786826035938
497,1786826035964
498,1786826035990
500,1786826036016
501,1786826036043
507,1786826036069
504,1786826036095
505,1786826036121
506,1786826036147
503,1786826036173
504,1786826036200
505,1786826036226
504,1786826036252
504,1786826036278
504,1786826036304
505,1786826036330
505,1786826036356
505,1786826036383
504,1786826036409
505,1786826036435
505,1786826036461
503,1786826036487
505,1786826036513
504,1786826036539
505,1786826036565
505,1786826036591
504,1786826036617
504,1786826036643
504,1786826036669
503,1786826036696
504,1786826036721
504,1786826036748
504,1786826036774
504,1786826036800
504,1786826036826
504,1786826036852
505,1786826036878
505,1786826036904
504,1786826036930
503,1786826036956
503,1786826036982
503,1786826037008
503,1786826037034
505,1786826037061
503,1786826037087
503,1786826037113
502,1786826037139
503,1786826037165
502,1786826037191
503,1786826037217
503,1786826037243
503,1786826037269
503,1786826037295
502,1786826037321
502,1786826037347
502,1786826037374
502,1786826037400
502,1786826037426
502,1786826037452
502,1786826037478
501,1786826037504
502,1786826037531
501,1786826037557
502,1786826037583
502,1786826037609
499,1786826037635
498,1786826037662
499,1786826037688
499,1786826037714
498,1786826037740
499,1786826037766
499,1786826037792
498,1786826037818
499,1786826037844
498,1786826037870
498,1786826037896
498,1786826037923
497,1786826037949
497,1786826037975
498,1786826038001
498,1786826038027
498,1786826038053
498,1786826038080
498,1786826038106
497,1786826038132
495,1786826038158
494,1786826038184
494,1786826038210
494,1786826038237
493,1786826038263
493,1786826038289
493,1786826038315
493,1786826038341
492,1786826038367
491,1786826038393
491,1786826038420
491,1786826038446
491,1786826038472
491,1786826038499
491,1786826038525
492,1786826038551
492,1786826038577
490,1786826038603
492,1786826038629
490,1786826038655
491,1786826038681
490,1786826038707
491,1786826038734
492,1786826038760
492,1786826038786
492,1786826038812
491,1786826038838
490,1786826038865
492,1786826038891
492,1786826038917
491,1786826038944
491,1786826038970
492,1786826038996
492,1786826039022
491,1786826039048
493,1786826039074
492,1786826039100
491,1786826039126
491,1786826039152
492,1786826039178
492,1786826039203
492,1786826039229
491,1786826039255
492,1786826039281
492,1786826039308
492,1786826039334
492,1786826039360
492,1786826039387
493,1786826039413
492,1786826039439
493,1786826039466
493,1786826039491
493,1786826039518
493,1786826039544
492,1786826039570
493,1786826039595
492,1786826039622
493,1786826039648
492,1786826039673
492,1786826039699
493,1786826039725
491,1786826039751
492,1786826039777
492,1786826039803
492,1786826039829
492,1786826039855
493,1786826039883
493,1786826039909
493,1786826039935
493,1786826039961
493,1786826039987
493,1786826040013
492,1786826040040
492,1786826040066
493,1786826040092
493,1786826040118
492,1786826040145
493,1786826040171
493,1786826040197
492,1786826040223
493,1786826040250
493,1786826040276
493,1786826040302
492,1786826040328
493,1786826040354
493,1786826040380
492,1786826040406
493,1786826040432
493,1786826040458
493,1786826040484
492,1786826040510
492,1786826040536
493,1786826040562
493,1786826040589
493,1786826040615
493,1786826040641
493,1786826040667
492,1786826040693
493,1786826040719
493,1786826040745
494,1786826040771
493,1786826040797
494,1786826040823
494,1786826040849
495,1786826040875
496,1786826040901
496,1786826040927
496,1786826040954
496,1786826040980
494,1786826041006
493,1786826041032
493,1786826041059
492,1786826041085
493,1786826041111
493,1786826041138
493,1786826041164
493,1786826041190
493,1786826041216
492,1786826041242
493,1786826041268
494,1786826041295
495,1786826041321
496,1786826041347
495,1786826041373
495,1786826041399
494,1786826041426
495,1786826041452
495,1786826041478
496,1786826041504
496,1786826041530
496,1786826041557
496,1786826041583
496,1786826041609
496,1786826041636
496,1786826041662
497,1786826041688
495,1786826041715
495,1786826041741
496,1786826041768
496,1786826041794
496,1786826041820
496,1786826041847
496,1786826041873
495,1786826041900
495,1786826041926
496,1786826041952
496,1786826041978
495,1786826042005
495,1786826042031
495,1786826042058
