"voltage","time"
25.488,1786825745885
25.488,1786825745651
25.488,1786825745539
25.488,1786825745310
25.515,1786825745198
25.515,1786825745076
25.515,1786825744964
25.515,1786825744736
25.515,1786825744502
25.515,1786825744390
25.515,1786825744278
25.515,1786825744161
25.515,1786825744046
25.416,1786825743924
25.416,1786825743814
25.416,1786825743702
25.416,1786825743585
25.416,1786825743471
25.416,1786825743349
25.416,1786825743237
25.416,1786825743125
25.416,1786825743013
25.416,1786825742901
25.506,1786825742779
25.506,1786825742667
25.506,1786825742555
25.506,1786825742438
25.506,1786825742326
25.506,1786825742092
25.506,1786825741977
25.506,1786825741753
25.47,1786825741631
25.47,1786825741519
25.47,1786825741407
25.47,1786825741177
25.47,1786825740943
25.47,1786825740826
25.47,1786825740602
25.533,1786825740368
25.533,1786825740251
25.533,1786825740027
25.533,1786825739915
25.533,1786825739793
25.533,1786825739681
25.533,1786825739569
25.533,1786825739345
25.497,1786825739223
25.497,1786825739111
25.497,1786825738994
25.497,1786825738882
25.497,1786825738769
25.497,1786825738530
25.497,1786825738418
25.497,1786825738306
25.497,1786825738194
25.488,1786825738070
25.488,1786825737952
25.488,1786825737842
25.488,1786825737728
25.488,1786825737618
25.488,1786825737496
25.488,1786825737267
25.488,1786825737155
25.488,1786825737043
25.47,1786825736921
25.47,1786825736691
25.47,1786825736579
25.47,1786825736467
25.47,1786825736345
25.47,1786825736116
25.47,1786825736004
25.488,1786825735770
25.488,1786825735653
25.488,1786825735541
25.488,1786825735429
25.488,1786825735195
25.488,1786825734966
25.488,1786825734854
25.452,1786825734628
25.452,1786825734389
25.452,1786825734277
25.452,1786825734165
25.452,1786825734053
25.452,1786825733926
25.452,1786825733814
25.452,1786825733702
25.452,1786825733590
25.452,1786825733477
25.488,1786825733350
25.488,1786825733238
25.488,1786825733126
25.488,1786825733014
25.488,1786825732902
25.488,1786825732777
25.488,1786825732665
25.488,1786825732329
25.65,1786825732203
25.65,1786825732090
25.65,1786825731978
25.65,1786825731866
25.65,1786825731627
25.65,1786825731515
25.65,1786825731403
25.65,1786825731291
25.65,1786825731179
25.712,1786825731052
25.712,1786825730940
25.712,1786825730828
25.712,1786825730604
25.712,1786825730483
25.712,1786825730365
25.712,1786825730253
25.712,1786825730029
25.721,1786825729907
25.721,1786825729790
25.721,1786825729566
25.721,1786825729454
25.721,1786825729343
25.721,1786825729216
25.721,1786825729104
25.721,1786825728992
25.721,1786825728768
25.632,1786825728646
25.632,1786825728534
25.632,1786825728423
25.632,1786825728309
25.632,1786825728072
25.632,1786825727848
25.632,1786825727736
25.632,1786825727619
25.668,1786825727497
25.668,1786825727273
25.668,1786825727161
25.668,1786825726922
25.668,1786825726698
25.668,1786825726586
25.668,1786825726474
25.668,1786825726352
25.668,1786825726240
25.668,1786825726128
25.668,1786825726015
25.668,1786825725903
25.668,1786825725776
25.668,1786825725553
25.668,1786825725440
25.668,1786825725323
25.703,1786825725201
25.703,1786825725089
25.703,1786825724977
25.703,1786825724866
25.703,1786825724748
25.703,1786825724626
25.703,1786825724402
25.703,1786825724290
25.703,1786825724172
25.784,1786825724060
25.784,1786825723938
25.784,1786825723826
25.784,1786825723714
25.784,1786825723596
25.784,1786825723484
25.784,1786825723360
25.784,1786825723248
25.784,1786825723136
25.784,1786825723021
25.784,1786825722910
25.73,1786825722788
25.73,1786825722676
25.73,1786825722564
25.73,1786825722447
25.73,1786825722335
25.73,1786825722213
25.73,1786825722102
25.73,1786825721990
25.73,1786825721875
25.73,1786825721763
25.686,1786825721642
25.686,1786825721530
25.686,1786825721418
25.686,1786825721302
25.686,1786825721190
25.686,1786825721068
25.686,1786825720956
25.686,1786825720844
25.686,1786825720617
25.47,1786825720495
25.47,1786825720271
25.47,1786825720156
25.47,1786825720044
25.47,1786825719923
25.47,1786825719699
25.47,1786825719582
25.479,1786825719348
25.479,1786825719124
25.479,1786825719007
25.479,1786825718783
25.479,1786825718549
25.479,1786825718432
25.479,1786825718208
25.479,1786825718084
25.479,1786825717975
25.479,1786825717858
25.479,1786825717746
25.479,1786825717633
25.479,1786825717510
25.479,1786825717401
25.479,1786825717284
25.479,1786825717171
25.479,1786825717059
25.416,1786825716935
25.416,1786825716828
25.416,1786825716710
25.416,1786825716598
25.416,1786825716486
25.416,1786825716362
25.416,1786825716135
25.416,1786825715910
25.434,1786825715786
25.434,1786825715675
25.434,1786825715559
25.434,1786825715447
25.434,1786825715334
25.434,1786825715210
25.434,1786825715100
25.434,1786825714984
25.434,1786825714871
25.434,1786825714759
25.479,1786825714637
25.479,1786825714520
25.479,1786825714408
25.479,1786825714296
25.479,1786825714184
25.479,1786825713947
25.479,1786825713835
25.479,1786825713723
25.479,1786825713611
25.551,1786825713262
25.551,1786825713151
25.551,1786825712927
25.551,1786825712804
25.551,1786825712692
25.551,1786825712581
25.551,1786825712469
25.551,1786825712357
25.488,1786825712233
25.488,1786825712121
25.488,1786825711897
25.488,1786825711785
25.488,1786825711660
25.488,1786825711547
25.488,1786825711322
25.488,1786825711211
25.479,1786825711085
25.479,1786825710972
25.479,1786825710862
25.479,1786825710750
25.479,1786825710638
25.479,1786825710398
25.479,1786825710285
25.479,1786825710173
25.479,1786825710061
25.515,1786825709934
25.515,1786825709822
25.515,1786825709597
25.515,1786825709485
25.515,1786825709248
25.515,1786825708910
25.515,1786825708800
25.515,1786825708673
25.515,1786825708561
25.515,1786825708449
25.515,1786825708337
25.515,1786825708225
25.515,1786825708103
25.515,1786825707991
25.515,1786825707879
25.515,1786825707767
25.515,1786825707654
25.533,1786825707416
25.533,1786825707304
25.533,1786825707192
25.533,1786825706956
25.533,1786825706733
25.533,1786825706621
25.47,1786825706387
25.47,1786825706275
25.47,1786825706163
25.47,1786825706051
25.47,1786825705934
25.47,1786825705812
25.47,1786825705701
25.47,1786825705589
25.47,1786825705477
25.47,1786825705360
25.497,1786825705237
25.497,1786825705125
25.497,1786825704901
25.497,1786825704787
25.497,1786825704661
25.497,1786825704549
25.497,1786825704324
25.497,1786825704215
25.497,1786825704089
25.497,1786825703977
25.497,1786825703865
25.497,1786825703753
25.497,1786825703641
25.497,1786825703525
25.497,1786825703177
25.497,1786825703067
25.497,1786825702951
25.515,1786825702828
25.515,1786825702715
25.515,1786825702602
25.515,1786825702491
25.515,1786825702374
25.515,1786825702254
25.515,1786825702142
25.515,1786825702028
25.515,1786825701920
25.479,1786825701678
25.479,1786825701568
25.479,1786825701344
25.479,1786825701228
25.479,1786825701106
25.479,1786825700994
25.479,1786825700882
25.479,1786825700770
25.479,1786825700654
25.497,1786825700532
25.497,1786825700420
25.497,1786825700306
25.497,1786825700196
25.497,1786825700080
25.497,1786825699958
25.497,1786825699846
25.497,1786825699732
25.497,1786825699622
25.497,1786825699506
25.479,1786825699384
25.479,1786825699272
25.479,1786825699158
25.479,1786825698932
25.479,1786825698810
25.479,1786825698698
25.479,1786825698586
25.479,1786825698474
25.479,1786825698358
25.452,1786825698246
25.452,1786825698124
25.452,1786825698012
25.452,1786825697900
25.452,1786825697784
25.452,1786825697550
25.452,1786825697438
25.452,1786825697327
25.452,1786825697209
25.452,1786825697096
25.506,1786825696973
25.506,1786825696861
25.506,1786825696749
25.506,1786825696633
25.506,1786825696521
25.506,1786825696399
25.506,1786825696284
25.506,1786825696174
25.506,1786825695946
25.497,1786825695823
25.497,1786825695709
25.497,1786825695599
25.497,1786825695483
25.497,1786825695370
25.497,1786825695134
25.497,1786825695024
25.497,1786825694907
25.497,1786825694795
25.479,1786825694561
25.479,1786825694447
25.479,1786825694331
25.479,1786825694219
25.479,1786825693986
25.479,1786825693874
25.479,1786825693759
25.479,1786825693647
25.533,1786825693525
25.533,1786825693413
25.533,1786825693302
25.533,1786825693075
25.533,1786825692963
25.533,1786825692841
25.533,1786825692730
25.533,1786825692616
25.533,1786825692505
25.533,1786825692393
25.506,1786825692269
25.506,1786825692159
25.506,1786825692043
25.506,1786825691819
25.506,1786825691695
25.506,1786825691585
25.506,1786825691469
25.506,1786825691357
25.506,1786825691245
25.497,1786825691010
25.497,1786825690894
25.497,1786825690782
25.497,1786825690670
25.497,1786825690546
25.497,1786825690440
25.497,1786825690323
25.497,1786825690211
25.497,1786825689974
25.497,1786825689864
25.497,1786825689748
25.497,1786825689636
25.497,1786825689524
25.497,1786825689400
25.497,1786825689290
25.497,1786825689173
25.497,1786825689061
25.497,1786825688949
25.515,1786825688825
25.515,1786825688717
25.515,1786825688488
25.515,1786825688376
25.515,1786825688145
25.515,1786825688028
25.515,1786825687916
25.515,1786825687804
25.497,1786825687690
25.497,1786825687573
25.497,1786825687456
25.497,1786825687344
25.497,1786825687232
25.497,1786825687118
25.497,1786825687002
25.497,1786825686885
25.497,1786825686773
25.497,1786825686547
25.452,1786825686431
25.452,1786825686314
25.452,1786825686202
25.452,1786825686090
25.452,1786825685975
25.452,1786825685742
25.452,1786825685630
25.452,1786825685519
25.452,1786825685405
25.488,1786825685291
25.488,1786825685174
25.488,1786825685062
25.488,1786825684950
25.488,1786825684604
25.488,1786825684492
25.488,1786825684380
25.488,1786825684267
25.515,1786825684147
25.515,1786825684031
25.515,1786825683919
25.515,1786825683808
25.515,1786825683693
25.515,1786825683572
25.515,1786825683456
25.515,1786825683344
25.515,1786825683233
25.515,1786825683120
25.578,1786825683009
25.578,1786825682883
25.578,1786825682771
25.578,1786825682659
25.578,1786825682547
25.578,1786825682437
25.578,1786825682311
25.578,1786825682199
25.578,1786825681972
25.578,1786825681862
25.497,1786825681735
25.497,1786825681623
25.497,1786825681398
25.497,1786825681286
25.497,1786825681159
25.497,1786825681047
25.497,1786825680822
25.497,1786825680706
25.515,1786825680584
25.515,1786825680472
25.515,1786825680248
25.515,1786825680136
25.515,1786825680009
25.515,1786825679897
25.515,1786825679672
25.515,1786825679560
25.614,1786825679438
25.614,1786825679326
25.614,1786825679212
25.614,1786825679099
25.614,1786825678993
25.614,1786825678868
25.614,1786825678756
25.614,1786825678644
25.614,1786825678530
25.748,1786825678296
25.748,1786825678182
25.748,1786825678072
25.748,1786825677957
25.748,1786825677853
25.748,1786825677734
25.748,1786825677614
25.748,1786825677499
25.748,1786825677387
25.748,1786825677277
25.748,1786825677161
25.703,1786825677038
25.703,1786825676812
25.703,1786825676706
25.703,1786825676588
25.703,1786825676466
25.703,1786825676354
25.703,1786825676240
25.703,1786825676130
25.703,1786825676013
25.757,1786825675890
25.757,1786825675778
25.757,1786825675666
25.757,1786825675553
25.757,1786825675441
25.757,1786825675319
25.757,1786825675207
25.757,1786825675094
25.757,1786825674984
25.802,1786825674745
25.802,1786825674633
25.802,1786825674520
25.802,1786825674411
25.802,1786825674294
25.802,1786825674173
25.802,1786825674061
25.802,1786825673948
25.802,1786825673836
25.802,1786825673724
25.73,1786825673602
25.73,1786825673490
25.73,1786825673379
25.73,1786825673270
25.73,1786825673153
25.73,1786825673029
25.73,1786825672917
25.73,1786825672805
25.73,1786825672693
25.73,1786825672576
25.551,1786825672464
25.551,1786825672342
25.551,1786825672230
25.551,1786825672119
25.551,1786825672004
25.551,1786825671892
25.551,1786825671770
25.551,1786825671657
25.551,1786825671548
25.551,1786825671431
25.551,1786825671318
25.497,1786825671196
25.497,1786825671083
25.497,1786825670972
25.497,1786825670856
25.497,1786825670745
25.497,1786825670623
25.497,1786825670510
25.497,1786825670399
25.497,1786825670283
25.497,1786825670171
25.524,1786825669936
25.524,1786825669825
25.524,1786825669597
25.524,1786825669475
25.524,1786825669251
25.524,1786825669135
25.524,1786825669023
25.533,1786825668901
25.533,1786825668788
25.533,1786825668677
25.533,1786825668561
25.533,1786825668449
25.533,1786825668327
25.533,1786825668215
25.533,1786825667987
25.533,1786825667752
25.533,1786825667530
25.533,1786825667413
25.533,1786825667302
25.533,1786825667189
25.533,1786825666839
25.533,1786825666727
25.533,1786825666615
25.506,1786825666493
25.506,1786825666383
25.506,1786825666266
25.506,1786825666154
25.506,1786825666042
25.506,1786825665920
25.506,1786825665811
25.506,1786825665694
25.506,1786825665582
25.506,1786825665470
25.497,1786825665348
25.497,1786825665239
25.497,1786825665010
25.497,1786825664898
25.497,1786825664776
25.497,1786825664664
25.497,1786825664552
25.497,1786825664440
25.497,1786825664328
25.533,1786825664097
25.533,1786825663980
25.533,1786825663868
25.533,1786825663756
25.533,1786825663632
25.533,1786825663522
25.533,1786825663404
25.533,1786825663292
25.533,1786825663181
25.578,1786825663059
25.578,1786825662950
25.578,1786825662721
25.578,1786825662609
25.578,1786825662484
25.578,1786825662374
25.578,1786825662258
25.578,1786825662146
25.578,1786825662034
25.748,1786825661920
25.748,1786825661800
25.748,1786825661684
25.748,1786825661572
25.748,1786825661459
25.748,1786825661225
25.748,1786825661109
25.748,1786825660997
25.748,1786825660885
25.748,1786825660773
25.748,1786825660652
25.748,1786825660536
25.748,1786825660312
25.748,1786825660198
25.748,1786825660079
25.748,1786825659963
25.748,1786825659739
25.748,1786825659627
25.757,1786825659505
25.757,1786825659388
25.757,1786825659164
25.757,1786825659052
25.757,1786825658930
25.757,1786825658813
25.757,1786825658589
25.757,1786825658477
25.82,1786825658350
25.82,1786825658238
25.82,1786825658126
25.82,1786825658014
25.82,1786825657902
25.82,1786825657775
25.82,1786825657664
25.82,1786825657440
25.82,1786825657328
25.784,1786825657201
25.784,1786825657089
25.784,1786825656977
25.784,1786825656865
25.784,1786825656753
25.784,1786825656641
25.784,1786825656514
25.784,1786825656289
25.784,1786825656177
25.784,1786825656065
25.712,1786825655938
25.712,1786825655826
25.712,1786825655713
25.712,1786825655601
25.712,1786825655362
25.712,1786825655250
25.712,1786825655138
25.712,1786825654914
25.703,1786825654787
25.703,1786825654675
25.703,1786825654563
25.703,1786825654451
25.703,1786825654333
25.703,1786825654099
25.703,1786825653987
25.703,1786825653875
25.703,1786825653758
25.748,1786825653636
25.748,1786825653523
25.748,1786825653410
25.748,1786825653302
25.748,1786825653063
25.748,1786825652952
25.748,1786825652840
25.748,1786825652729
25.748,1786825652617
25.757,1786825652495
25.757,1786825652383
25.757,1786825652268
25.757,1786825652160
25.757,1786825652043
25.757,1786825651808
25.757,1786825651694
25.757,1786825651584
25.757,1786825651468
25.82,1786825651355
25.82,1786825651233
25.82,1786825651121
25.82,1786825650896
25.82,1786825650784
25.82,1786825650662
25.82,1786825650549
25.82,1786825650438
25.82,1786825650321
25.82,1786825650209
25.757,1786825650087
25.757,1786825649865
25.757,1786825649748
25.757,1786825649635
25.757,1786825649401
25.757,1786825649291
25.757,1786825649174
25.757,1786825649063
25.784,1786825648942
25.784,1786825648829
25.784,1786825648720
